Source,Code à barre,Référence,Quantité,Affectation,Types,Marque,Remarques,TAG
DB Mécanique,,MCPK 250-500-400,1,V4,Garniture mécanique ,,MCPK 250-500-400,ET TR5/8
DB Mécanique,,1044702,2,V4,Garniture mécanique ,,ETB MN 150-315/3704,ET VERS MARSA ANCIENNE G
DB Mécanique,,1028547,4,V4,Garniture mécanique ,KSB,MCPK 250-200-400 CC/N,ET VERS CARREFOUR
DB Mécanique,,89163152,0,V4,Garniture mécanique ,JohnCrane,pour 32-160H,BOOSTER AKHFNIR
DB Mécanique,,1000163167,2,,Garniture mécanique ,EagleBurgmann,Carrefour SCT250/51,CARREFOUR SR1 N1
DB Mécanique,,Ar1,4,,Arbre ,Sulzer,A31-125 et 150,BP TR6/7/8 tr5
DB Mécanique,,Ar2,1,,Arbre ,Sulzer,A21-100,LAVAGE TR5/8
DB Mécanique,,Ar3,1,,Arbre ,KSB,ETANORM NC065-200 C11,ET VERS MARSA
DB Mécanique,,Ar4,1,,Arbre ,KSB,CIP ,CIP 
DB Mécanique,,Ar5,1,,Arbre ,KSB,MCPK 250-200-400,ET VERS CARREFOUR
DB Mécanique,,Ar6,3,,Arbre ,Sulzer,ZF200-3250,BOOSTER TR8
DB Mécanique,,Ar7,0,,Arbre ,Sulzer,MBN 100-300/05,HP TR6/7
DB Mécanique,,Ar8,1,,Arbre ,KSB,,
DB Mécanique,,Ar9,3,,Arbre ,Someflu,125-80-250,CIP TR6/7
DB Mécanique,,Ar11,0,,Arbre ,Sulzer,ZF150-2200,BOOSTER TR6/7
DB Mécanique,,Ar12,1,,Arbre ,KSB,ETANORM RM250-500 ,CARREFOUR SR2 N2
DB Mécanique,,Ar13,2,,Arbre ,KSB,ETB MN 150-315/3704,ET VERS MARSA ANCIENNE G
DB Mécanique,,Ar14,1,,Arbre ,Sulzer ,KIRLOSKAR,Carrefour 
DB Mécanique,,Acc1/kit,2,,Accouplement ,Sulzer,MBN 100-300/04 et 05,HP TR6/7/8
DB Mécanique,,Acc2/kit,3,,Accouplement ,Sulzer,MCPK 250-200-400,ET VERS CARREFOUR AS
DB Mécanique,,Acc3/kit,0,,Accouplement ,Sulzer,ZF150-2200,BOOSTER TR6/7
DB Mécanique,,Acc4/kit,1,,Accouplement ,Sulzer,125-80-250,CIP TR6/7
DB Mécanique,,Acc5/kit,2,,Accouplement ,Sulzer,ZF200-3250,BOOSTER TR8
DB Mécanique,,Acc6/kit,0,,Accouplement ,Sulzer,32-160H,BOOSTER AKHFNIR
DB Mécanique,,Acc7/kit,1,,Accouplement ,Sulzer,ETACHROM NC 065-200 C11,ET VERS MARSA  
DB Mécanique,,Acc8/Spacer,1,,Accouplement ,Sulzer,A31-150,LAVAGE TR6/7 et BP TR8
DB Mécanique,,Acc8/MonchonP,1,,Accouplement ,Sulzer,A31-150,LAVAGE TR6/7 et BP TR8
DB Mécanique,,Acc8/MonchonM,1,,Accouplement ,Sulzer,A31-150,LAVAGE TR6/7 et BP TR8
DB Mécanique,,Acc9/Spacer,2,,Accouplement ,Sulzer,A31-125,BP TR6/7
DB Mécanique,,Acc9/MonchonP,4,,Accouplement ,Sulzer,A31-125,BP TR6/7
DB Mécanique,,Acc9/MonchonM,4,,Accouplement ,Sulzer,A31-125,BP TR6/7
DB Mécanique,,Acc10/Spacer,2,,Accouplement ,Sulzer,Pour A31-125,BP TR5
DB Mécanique,,Acc10/MonchonP,2,,Accouplement ,Sulzer,Pour A31-125,BP TR5
DB Mécanique,,Acc10/MonchonM,2,,Accouplement ,Sulzer,Pour A31-125,BP TR5
DB Mécanique,,Acc11/kit,0,,Accouplement ,Sulzer,Pour A21-80,LAVAGE AKHFNIR 
DB Mécanique,,Acc12/Spacer,0,,Accouplement ,Sulzer,Pour MBN25-180/12,HP AKHFNIR
DB Mécanique,,Acc12/MonchonP,0,,Accouplement ,Sulzer,Pour MBN25-180/12,HP AKHFNIR
DB Mécanique,,Acc12/MonchonM,0,,Accouplement ,Sulzer,Pour MBN25-180/12,HP AKHFNIR
DB Mécanique,,Acc13/kit,0,,Accouplement ,Sulzer,Pour A11-40,BP AKHFNIR
DB Mécanique,,Acc14/kit,1,,Accouplement ,Sulzer,A21-100,LAVAGE TR5/8
DB Mécanique,,Acc14/MonchonP,1,,Accouplement ,Sulzer,A21-100,LAVAGE TR5/8
DB Mécanique,,Acc14/MonchonM,2,,Accouplement ,Sulzer,A21-100,LAVAGE TR5/8
DB Mécanique,,Acc15/Spacer,1,,Accouplement ,Sulzer,A31-150,LAVAGE TR6/7 et BP TR8
DB Mécanique,,Acc15/MonchonP,0,,Accouplement ,Sulzer,A31-150,LAVAGE TR6/7 et BP TR8
DB Mécanique,,Acc15/MonchonM,1,,Accouplement ,Sulzer,A31-150,LAVAGE TR6/7 et BP TR8
DB Mécanique,,Lab1,2x2,,Labyrinthe ,AESSEAL,ZF200-3250,BOOSTER TR8
DB Mécanique,,924601S133,2,,Piston,Sulzer ,MBN 100-300/04 et 05,HP TR6/7/8
DB Mécanique,,VA4AUP0201,0,,Kit palier ,Sulzer ,A21-100,LAVAGE TR5/8
DB Mécanique,,9162080141-0,1,,Roue,Sulzer ,R1 pour A31-150,LAVAGE TR6/7
DB Mécanique,,9161960141-0,2,,Roue,Sulzer ,R2 Pour A31-125,BP TR5
DB Mécanique,,9173300141-0,1,,Roue,Sulzer ,R3 pour A21-100,LAVAGE TR5/8
DB Mécanique,,LB-PC-1100/2100,1,,Roue,Sulzer ,R4 pour ZF200-3250,BOOSTER TR8
DB Mécanique,,LB-PC-1100/2100/3100,1,,Roue,Sulzer ,R5 pour ZF150-2200,BOOSTER TR6/7
DB Mécanique,,9190360141-1,2,,Roue,Sulzer ,R6 pour MBN 100-300/05 ,HP TR6/7
DB Mécanique,,47042208,1,,Roue,KSB,R7 pour ,ET TR6/7
DB Mécanique,,Mano6,45,,Manomètre ,Wika,6 bar,
DB Mécanique,,Mano10,18,,Manomètre ,Wika,10 bar,
DB Mécanique,,Mano16,1,,Manomètre ,Wika,16 bar,
DB Mécanique,,Mano1,7,,Manomètre ,Wika,1 bar,
DB Mécanique,,Mano100,1,,Manomètre ,Wika,100 bar,
DB Mécanique,,Pres2.5,3,,Pressostat ,NUOVA FIMA,"2,5 bar",
DB Mécanique,,Pres1,2,,Pressostat ,NUOVA FIMA,1 bar,
DB Mécanique,,Pres6,1,,Pressostat ,NUOVA FIMA,6 bar,
DB Mécanique,,Pres16,2,,Pressostat ,NUOVA FIMA,16 bar,
DB Mécanique,,PROMAG 50W3H,1,,Débitmètre,E+H,Dn300 Pn10 ,
DB Mécanique,,PROMAG 50W2F,1,,Débitmètre,E+H,Dn250 Pn10 ,
DB Mécanique,,SITRANS MAG5100W,2,,Débitmètre,SIEMENS,Dn250 Pn16,
DB Mécanique,,PROMAG 50W2H,2,,Débitmètre,E+H,Dn200 Pn10 ,
DB Mécanique,,ISOMAG ML210-B0A1B1A0,1,,Débitmètre, ISOIL,,
DB Mécanique,,SITRANS MAG3100,1,,Débitmètre,SIEMENS,Dn65 Pn100 ,
DB Mécanique,,SITRANS MAG5100W,3,,Débitmètre,SIEMENS,Dn150 Pn16 ,
DB Mécanique,,SITRANS MAG5100W,1,,Débitmètre,SIEMENS,Dn80 Pn16,
DB Mécanique,,SITRANS F M MAG 5100W,1,,Débitmètre,SIEMENS,Dn200 Pn16,
DB Mécanique,,PROMAG 50W80,1,,Débitmètre,E+H,Dn80 Pn16 ,
DB Mécanique,,ISOMAG ML210-B9B1B1A0,1,,Débitmètre, ISOIL,,
